#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2145_length_112275_cov_77.552353:94610-96499|+ -            630 2830                 -            548         0 1101.7   1.0   1   1         0         0 1097.7   1.0     1   546     1   567     1   569 0.96 NODE_2145_length_112275_cov_77.552353_89 # 94610 # 96499 # 1 # ID=1072_89;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.556
NODE_434_length_79075_cov_70.223480:37910-42526|-   -           1539 2830                 -            548   2.5e-08   31.1   0.0   2   2   1.3e-07   6.4e-05   19.9   0.0   276   351   357   433   345   449 0.88 NODE_434_length_79075_cov_70.223480_37 # 37910 # 42526 # -1 # ID=160_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.568
NODE_1539_length_37792_cov_75.811783:24417-26498|+  -            694 2830                 -            548     1e-05   22.5   0.3   1   2     0.001      0.48    7.1   0.2    51   133   297   379   260   400 0.80 NODE_1539_length_37792_cov_75.811783_29 # 24417 # 26498 # 1 # ID=694_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.572
NODE_1539_length_37792_cov_75.811783:24417-26498|+  -            694 2830                 -            548     1e-05   22.5   0.3   2   2   1.3e-05    0.0062   13.3   0.0   274   347   523   597   511   611 0.84 NODE_1539_length_37792_cov_75.811783_29 # 24417 # 26498 # 1 # ID=694_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.572
NODE_846_length_63393_cov_76.936378:60621-62819|-   -            733 2830                 -            548   0.00041   17.2   0.0   1   2    0.0039       1.9    5.1   0.0    51   137   225   308   218   322 0.77 NODE_846_length_63393_cov_76.936378_65 # 60621 # 62819 # -1 # ID=361_65;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.575
NODE_846_length_63393_cov_76.936378:60621-62819|-   -            733 2830                 -            548   0.00041   17.2   0.0   2   2   0.00017     0.081    9.6   0.0   284   359   522   609   515   629 0.78 NODE_846_length_63393_cov_76.936378_65 # 60621 # 62819 # -1 # ID=361_65;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.575
NODE_614_length_35137_cov_72.104843:11308-14214|-   -            969 2830                 -            548    0.0014   15.4   0.0   1   1   4.6e-06    0.0022   14.8   0.0   224   348   483   610   432   649 0.84 NODE_614_length_35137_cov_72.104843_12 # 11308 # 14214 # -1 # ID=265_12;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/2830at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/2830at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/2830at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:24:00 2025
# [ok]
