#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2185_length_35330_cov_74.210983:31625-33052|-  -            476 1856                 -            474  6.4e-284  940.0   0.0   1   1  1.2e-286  7.2e-284  939.8   0.0     1   474     1   475     1   475 0.99 NODE_2185_length_35330_cov_74.210983_37 # 31625 # 33052 # -1 # ID=1088_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.543
NODE_2129_length_51924_cov_72.758377:5729-7345|+    -            539 1856                 -            474   1.8e-07   28.4   0.0   2   2         1   5.9e+02   -3.0   0.0   261   317   323   383   299   389 0.69 NODE_2129_length_51924_cov_72.758377_9 # 5729 # 7345 # 1 # ID=1066_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.533
NODE_926_length_95421_cov_71.123581:87944-89416|+   -            491 1856                 -            474   0.00023   18.1   0.2   1   3     0.074        44    0.7   0.0    92   144    35    95    16   103 0.70 NODE_926_length_95421_cov_71.123581_77 # 87944 # 89416 # 1 # ID=386_77;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.520
NODE_926_length_95421_cov_71.123581:87944-89416|+   -            491 1856                 -            474   0.00023   18.1   0.2   2   3         1     6e+02   -3.0   0.0    37    57   212   232   207   246 0.83 NODE_926_length_95421_cov_71.123581_77 # 87944 # 89416 # 1 # ID=386_77;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.520
NODE_926_length_95421_cov_71.123581:87944-89416|+   -            491 1856                 -            474   0.00023   18.1   0.2   3   3   4.7e-06    0.0027   14.6   0.1   129   227   283   376   232   442 0.67 NODE_926_length_95421_cov_71.123581_77 # 87944 # 89416 # 1 # ID=386_77;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.520
NODE_1441_length_52686_cov_76.197510:190-2304|-     -            705 1856                 -            474   0.00033   17.6   0.0   1   2   3.2e-06    0.0019   15.1   0.0    74   173    42   147    34   169 0.77 NODE_1441_length_52686_cov_76.197510_2 # 190 # 2304 # -1 # ID=633_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.509
NODE_1441_length_52686_cov_76.197510:190-2304|-     -            705 1856                 -            474   0.00033   17.6   0.0   2   2      0.17        98   -0.4   0.0   260   326   336   399   329   410 0.70 NODE_1441_length_52686_cov_76.197510_2 # 190 # 2304 # -1 # ID=633_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.509
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/1856at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/1856at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/1856at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:23:57 2025
# [ok]
