#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_126545_cov_41.885285:108662-110551|+ -            630 2830                 -            548         0 1101.7   1.0   1   1         0         0 1097.7   1.0     1   546     1   567     1   569 0.96 NODE_8_length_126545_cov_41.885285_102 # 108662 # 110551 # 1 # ID=8_102;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.556
NODE_17_length_86457_cov_41.702653:720-2918|+      -            733 2830                 -            548   0.00039   17.2   0.0   2   2   0.00017     0.077    9.6   0.0   284   359   522   609   515   629 0.78 NODE_17_length_86457_cov_41.702653_3 # 720 # 2918 # 1 # ID=17_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.575
NODE_4_length_139564_cov_44.158667:90996-93902|+   -            969 2830                 -            548    0.0013   15.4   0.0   1   1   4.6e-06    0.0021   14.8   0.0   224   348   483   610   432   649 0.84 NODE_4_length_139564_cov_44.158667_79 # 90996 # 93902 # 1 # ID=4_79;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.549
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/2830at543.hmm
# Target file:     home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout home/simonedassisi/Desktop/BUSCO_output/run_enterobacteriaceae_odb12/hmmer_output/2830at543.out --cpu 1 /home/simonedassisi/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/2830at543.hmm home/simonedassisi/Desktop/BUSCO_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi
# Date:            Tue Apr  1 14:30:16 2025
# [ok]
