#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2031_length_15140_cov_83.574440:4480-4911|+   -            144 27234                -            143   6.2e-73  241.7   0.0   1   1   9.1e-76   6.9e-73  241.6   0.0     1   143     1   143     1   143 1.00 NODE_2031_length_15140_cov_83.574440_5 # 4480 # 4911 # 1 # ID=1003_5;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.498
NODE_796_length_47878_cov_66.656982:28655-29962|-  -            436 27234                -            143   1.9e-06   26.2   0.0   3   4      0.65   4.9e+02   -1.1   0.0    42    65   296   319   291   324 0.85 NODE_796_length_47878_cov_66.656982_29 # 28655 # 29962 # -1 # ID=347_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
NODE_796_length_47878_cov_66.656982:28655-29962|-  -            436 27234                -            143   1.9e-06   26.2   0.0   4   4      0.02        15    3.8   0.0    96   135   380   419   364   426 0.87 NODE_796_length_47878_cov_66.656982_29 # 28655 # 29962 # -1 # ID=347_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.537
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/27234at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/27234at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/27234at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:23:59 2025
# [ok]
