#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1441_length_52686_cov_76.197510:47313-47990|- -            226 1203                 -            172    2e-107  354.8   0.9   1   1    4e-110  2.3e-107  354.6   0.9     1   172    53   225    53   225 0.99 NODE_1441_length_52686_cov_76.197510_52 # 47313 # 47990 # -1 # ID=633_52;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.478
NODE_1709_length_68036_cov_72.575531:22117-24393|- -            759 1203                 -            172     0.045   11.8   1.6   1   4      0.16        93    1.0   0.0     4    27   207   230   204   234 0.87 NODE_1709_length_68036_cov_72.575531_17 # 22117 # 24393 # -1 # ID=785_17;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.531
NODE_1709_length_68036_cov_72.575531:22117-24393|- -            759 1203                 -            172     0.045   11.8   1.6   2   4       1.6   9.3e+02   -2.2   0.0    23    44   451   472   446   474 0.86 NODE_1709_length_68036_cov_72.575531_17 # 22117 # 24393 # -1 # ID=785_17;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.531
NODE_1709_length_68036_cov_72.575531:22117-24393|- -            759 1203                 -            172     0.045   11.8   1.6   3   4    0.0028       1.6    6.7   0.0     9    43   493   529   488   547 0.83 NODE_1709_length_68036_cov_72.575531_17 # 22117 # 24393 # -1 # ID=785_17;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.531
NODE_1709_length_68036_cov_72.575531:22117-24393|- -            759 1203                 -            172     0.045   11.8   1.6   4   4      0.43   2.5e+02   -0.4   0.1   112   163   609   660   575   695 0.75 NODE_1709_length_68036_cov_72.575531_17 # 22117 # 24393 # -1 # ID=785_17;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.531
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/1203at543.hmm
# Target file:     results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout results/BUSCO_output_velveth21/run_enterobacteriaceae_odb12/hmmer_output/1203at543.out --cpu 1 /home/simonedassisi/velvet-1.2.10/busco_downloads/lineages/enterobacteriaceae_odb12/hmms/1203at543.hmm results/BUSCO_output_velveth21/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/simonedassisi/velvet-1.2.10
# Date:            Wed Apr  2 19:23:54 2025
# [ok]
